timestamp,mse
1629643687.39992,0.0036
1629643687.49988,0.0018
1629643687.59984,0.0012
1629643687.6998,0.0009
1629643687.79976,0.00072
1629643687.89972,0.0006
1629643687.99968,0.000514285714285714
1629643688.10047,0.00045
1629643688.20043,0.000544444444444445
1629643688.30039,0.00049
1629643688.40035,0.000445454545454546
1629643688.50031,0.000408333333333333
1629643688.60027,0.000376923076923077
1629643688.70023,0.00035
1629643688.80019,0.000326666666666667
1629643688.90015,0.00030625
1629643689.00011,0.000288235294117647
1629643689.10007,0.000272222222222222
1629643689.20003,0.000257894736842105
1629643689.29999,0.000245
1629643689.39995,0.000233333333333333
1629643689.49991,0.000222727272727273
1629643689.59987,0.00021304347826087
1629643689.69983,0.000204166666666667
1629643689.79979,0.000196
1629643689.89975,0.000188461538461538
1629643689.99971,0.000181481481481481
1629643690.09967,0.000175
1629643690.20047,0.000168965517241379
1629643690.30043,0.000163333333333333
1629643690.40039,0.000158064516129032
1629643690.50035,0.000153125
1629643690.60031,0.000148484848484849
1629643690.70027,0.000144117647058824
1629643690.80023,0.00014
1629643690.90019,0.000136111111111111
1629643691.00015,0.000132432432432432
1629643691.10011,0.000128947368421053
1629643691.20007,0.000125641025641026
1629643691.30003,0.0001225
1629643691.39999,0.000119512195121951
1629643691.49995,0.000116666666666667
1629643691.59991,0.000113953488372093
1629643691.69987,0.000111363636363636
1629643691.79983,0.000108888888888889
1629643691.89979,0.000139130434782609
1629643691.99975,0.000136170212765957
1629643692.09971,0.000133333333333333
1629643692.2005,0.000130612244897959
1629643692.30046,0.000128
1629643692.40042,0.000125490196078431
1629643692.50038,0.000123076923076923
1629643692.60034,0.000120754716981132
1629643692.7003,0.000118518518518519
1629643692.80026,0.000147272727272727
1629643692.90022,0.000144642857142857
1629643693.00018,0.000142105263157895
1629643693.10014,0.000139655172413793
1629643693.2001,0.00013728813559322
1629643693.30006,0.000135
1629643693.40002,0.000132786885245902
1629643693.49998,0.000161290322580645
1629643693.59994,0.000158730158730159
1629643693.6999,0.00015625
1629643693.79986,0.000153846153846154
1629643693.89982,0.000151515151515152
1629643693.99978,0.000149253731343284
1629643694.09974,0.000147058823529412
1629643694.1997,0.000144927536231884
1629643694.30049,0.000142857142857143
1629643694.40045,0.000140845070422535
1629643694.50041,0.000138888888888889
1629643694.60037,0.000136986301369863
1629643694.70033,0.000135135135135135
1629643694.80029,0.000133333333333333
1629643694.90025,0.000131578947368421
1629643695.00021,0.00012987012987013
1629643695.10017,0.000128205128205128
1629643695.20013,0.000126582278481013
1629643695.30009,0.000125
1629643695.40005,0.000123456790123457
1629643695.50001,0.000121951219512195
1629643695.59997,0.000120481927710843
1629643695.69993,0.000119047619047619
1629643695.79989,0.000117647058823529
1629643695.89985,0.000116279069767442
1629643695.99981,0.000114942528735632
1629643696.09977,0.000113636363636364
1629643696.19973,0.000112359550561798
1629643696.29969,0.000111111111111111
1629643696.40049,8.9010989010989e-05
1629643696.50045,8.80434782608696e-05
1629643696.60041,8.70967741935484e-05
1629643696.70037,8.61702127659574e-05
1629643696.80033,8.52631578947368e-05
1629643696.90029,8.4375e-05
1629643697.00025,8.35051546391753e-05
1629643697.10021,8.26530612244898e-05
1629643697.20017,8.18181818181818e-05
1629643697.30013,8.1e-05
1629643697.40009,8.01980198019802e-05
1629643697.50005,7.94117647058823e-05
1629643697.60001,7.86407766990291e-05
1629643697.69997,7.78846153846154e-05
1629643697.79993,6.0952380952381e-05
1629643697.89989,6.0377358490566e-05
1629643697.99985,5.98130841121495e-05
1629643698.09981,5.92592592592593e-05
1629643698.19977,5.87155963302752e-05
1629643698.29973,5.81818181818182e-05
1629643698.39969,5.76576576576577e-05
1629643698.50048,5.71428571428571e-05
1629643698.60044,5.66371681415929e-05
1629643698.7004,5.6140350877193e-05
1629643698.80036,5.56521739130435e-05
1629643698.90032,5.51724137931035e-05
1629643699.00028,5.47008547008547e-05
1629643699.10024,5.42372881355932e-05
1629643699.2002,5.3781512605042e-05
1629643699.30016,5.33333333333333e-05
1629643699.40012,5.28925619834711e-05
1629643699.50008,5.24590163934426e-05
1629643699.60004,5.20325203252033e-05
1629643699.7,5.16129032258065e-05
1629643699.79996,5.12e-05
1629643699.89992,5.07936507936508e-05
1629643699.99988,5.03937007874016e-05
1629643700.09984,5e-05
1629643700.1998,4.96124031007752e-05
1629643700.29976,4.92307692307692e-05
1629643700.39972,4.88549618320611e-05
1629643700.49968,4.84848484848485e-05
1629643700.60047,4.81203007518797e-05
1629643700.70043,4.77611940298508e-05
1629643700.80039,4.74074074074074e-05
1629643700.90035,4.70588235294118e-05
1629643701.00031,4.67153284671533e-05
1629643701.10027,4.63768115942029e-05
1629643701.20023,4.60431654676259e-05
1629643701.30019,4.57142857142857e-05
1629643701.40015,4.53900709219858e-05
1629643701.50011,4.50704225352113e-05
1629643701.60007,4.47552447552448e-05
1629643701.70003,4.44444444444444e-05
1629643701.79999,4.41379310344828e-05
1629643701.89995,4.38356164383562e-05
1629643701.99991,4.35374149659864e-05
1629643702.09987,4.32432432432432e-05
1629643702.19983,4.29530201342282e-05
1629643702.29979,4.26666666666667e-05
1629643702.39975,4.23841059602649e-05
1629643702.49971,4.21052631578947e-05
1629643702.59967,4.18300653594771e-05
1629643702.70046,4.15584415584416e-05
1629643702.80042,4.12903225806452e-05
1629643702.90038,4.1025641025641e-05
1629643703.00034,4.56832688874927e-05
1629643703.1003,5.72247920833035e-05
1629643703.20026,6.83885572852305e-05
1629643703.30022,9.26862067679742e-05
