timestamp,mse
1630622882.59992,0.0081
1630622882.69988,0.005
1630622882.79984,0.00333333333333333
1630622882.8998,0.0025
1630622882.99976,0.002
1630622883.09972,0.00166666666666667
1630622883.19968,0.00142857142857143
1630622883.29964,0.00125
1630622883.3996,0.00111111111111111
1630622883.50039,0.001
1630622883.60035,0.000909090909090909
1630622883.70031,0.000833333333333333
1630622883.80027,0.000769230769230769
1630622883.90023,0.000714285714285714
1630622884.00019,0.000666666666666667
1630622884.10015,0.000625
1630622884.20011,0.000588235294117647
1630622884.30007,0.000555555555555556
1630622884.40003,0.000526315789473684
1630622884.49999,0.0005
1630622884.59995,0.000476190476190476
1630622884.69991,0.000454545454545455
1630622884.79987,0.000565716015566398
1630622884.89983,0.000634249252499041
1630622884.99979,0.000760180324595383
1630622885.09975,0.00100433195259398
1630622885.19971,0.00136461288762463
1630622885.29967,0.0018084320598683
1630622885.39963,0.00231199646491293
1630622885.49959,0.00287299153122671
1630622885.60039,0.00348884763148525
1630622885.70035,0.00389743686561365
1630622885.80031,0.00449134862318149
1630622885.90027,0.0050949306777344
1630622886.00023,0.00566590807558598
1630622886.10019,0.00632676678391129
1630622886.20015,0.00703246683766195
1630622886.30011,0.00447130926436131
1630622886.40007,0.000267135155062017
1630622886.50003,0.000678397850411654
1630622886.59999,0.00173625641191629
1630622886.69995,0.00106781931841803
1630622886.79991,2.83582340110281e-06
1630622886.89987,0.000952138152090535
1630622886.99983,0.00270426619471701
1630622887.09979,0.00353662730294837
1630622887.19975,0.00268057169378866
1630622887.29971,0.00122241151708299
1630622887.39967,0.000284571384352436
1630622887.49963,2.84793717354518e-06
1630622887.59959,2.78352514452842e-05
1630622887.70038,0.000102647161642451
1630622887.80034,0.00019464239304121
1630622887.9003,0.000284709764777832
1630622888.00026,0.000197262289685042
1630622888.10022,0.000162699950642981
1630622888.20018,0.000197758117679561
1630622888.30014,0.000471872250830014
1630622888.4001,0.000698491081667317
1630622888.50006,0.000854943133455259
1630622888.60002,0.000903730272437306
1630622888.69998,0.000941823626832393
1630622888.79994,0.000748950068932809
1630622888.8999,0.000533517330135603
1630622888.99986,0.000483287267177785
1630622889.09982,0.000743450493356675
1630622889.19978,0.00121594762222283
1630622889.29974,0.00150762889669751
1630622889.3997,0.00143502371962408
1630622889.49966,0.00123147104998908
1630622889.59962,0.000976811069057128
1630622889.69958,0.000955262912318795
1630622889.80037,0.000978746855804813
1630622889.90033,0.00105135189473629
1630622890.00029,0.000965567092505586
1630622890.10025,0.000886536461720786
1630622890.20021,0.000823795875792573
1630622890.30017,0.000559407773723291
1630622890.40013,0.000291212019888632
1630622890.50009,8.87278876884848e-05
1630622890.60005,1.42007229974424e-05
1630622890.70001,3.41027219786287e-06
1630622890.79997,1.02597641457906e-05
1630622890.89993,3.61168162316228e-05
1630622890.99989,7.21374914221048e-05
1630622891.09985,0.000114351225435957
1630622891.19981,0.000137833861284724
1630622891.29977,0.000128300352859614
1630622891.39973,8.32741531964812e-05
1630622891.49969,1.93914842747936e-05
1630622891.59965,1.7553489356664e-06
1630622891.69961,2.77013275692955e-07
1630622891.79957,1.41052677616893e-06
1630622891.90037,7.30865312405489e-07
1630622892.00032,2.21168646416974e-06
1630622892.10029,6.70913497593104e-06
1630622892.20024,1.23289286392233e-05
1630622892.3002,2.4281169837943e-06
1630622892.40017,3.12548464746516e-06
1630622892.50012,1.34999721011469e-05
1630622892.60009,2.05927088941294e-05
1630622892.70005,5.17485972026399e-05
1630622892.8,4.29760193133196e-05
1630622892.89997,5.47729376999915e-06
1630622892.99992,7.42701222995733e-06
1630622893.09988,8.20005166170634e-05
1630622893.19985,0.000190583768166175
1630622893.2998,0.00017855808469121
1630622893.39977,0.000146869925090256
1630622893.49973,0.000101365211480901
1630622893.59968,8.28743009552902e-05
1630622893.69965,4.9169062116156e-05
1630622893.7996,1.95270931182416e-05
1630622893.9004,5.59462307426962e-06
1630622894.00036,5.55949266521233e-06
1630622894.10032,4.85745928299677e-06
1630622894.20028,7.30308987820945e-06
1630622894.30024,6.81714627030801e-06
1630622894.4002,1.77973865236109e-05
1630622894.50016,1.49649191075625e-05
1630622894.60012,7.79360904915854e-06
1630622894.70008,1.16262731130823e-05
1630622894.80004,9.93609238479757e-06
1630622894.9,4.1050135209883e-06
1630622894.99996,3.87098793412348e-06
1630622895.09992,1.04789382470407e-06
1630622895.19988,1.60459707966747e-06
1630622895.29984,1.00410773602892e-05
1630622895.3998,1.58971238380507e-05
1630622895.49976,5.18190061177555e-06
1630622895.59972,9.90930884497729e-06
1630622895.69968,4.84303292480327e-05
1630622895.79964,5.86494404351995e-05
