timestamp,mse
1630618152.49996,0.0081
1630618152.59992,0.00405
1630618152.69988,0.0027
1630618152.79984,0.002025
1630618152.8998,0.00162
1630618152.99976,0.00135
1630618153.09972,0.00115714285714286
1630618153.19968,0.0010125
1630618153.29964,0.0009
1630618153.3996,0.00081
1630618153.49956,0.000736363636363636
1630618153.59952,0.000675
1630618153.69948,0.000623076923076923
1630618153.79944,0.000578571428571429
1630618153.8994,0.00054
1630618153.99936,0.00050625
1630618154.09932,0.000476470588235294
1630618154.19928,0.00045
1630618154.29924,0.000426315789473684
1630618154.3992,0.000405
1630618154.49999,0.000385714285714286
1630618154.59995,0.000368181818181818
1630618154.69991,0.000434782608695652
1630618154.79987,0.000416666666666667
1630618154.89983,0.0004
1630618154.99979,0.000384615384615385
1630618155.09975,0.00037037037037037
1630618155.19971,0.000357142857142857
1630618155.29967,0.000344827586206897
1630618155.39963,0.000333333333333333
1630618155.49959,0.00032258064516129
1630618155.59955,0.0003125
1630618155.69951,0.000303030303030303
1630618155.79947,0.000312794400592632
1630618155.89943,0.000421921602361636
1630618155.99939,0.000601549252213188
1630618156.09935,0.000837870561189932
1630618156.19931,0.00112011124587554
1630618156.29927,0.00142998077739891
1630618156.39923,0.00176417713794428
1630618156.49919,0.00211990755605694
1630618156.59999,0.00249479774862583
1630618156.69995,0.00288681862619081
1630618156.79991,0.00326723258747675
1630618156.89987,0.00360600544170204
1630618156.99983,0.0039896303693123
1630618157.09979,0.00438683464877266
1630618157.19975,0.00470348400067634
1630618157.29971,0.00383907126889611
1630618157.39967,0.000671253603686606
1630618157.49963,0.000273404451323501
1630618157.59959,0.00173129880449266
1630618157.69955,0.00167827311672727
1630618157.79951,0.000329037158841127
1630618157.89947,0.000107702524710205
1630618157.99943,0.0011414289090509
1630618158.09939,0.00196812205590812
1630618158.19935,0.00184833068971733
1630618158.29931,0.00114243606420604
1630618158.39927,0.000409189738643848
1630618158.49923,0.000100950175035706
1630618158.59919,2.21126324031791e-05
1630618158.69998,4.52627535589474e-06
1630618158.79994,4.73137348516014e-06
1630618158.8999,8.28428784983257e-05
1630618158.99986,0.000123946235042257
1630618159.09982,0.000137197473602312
1630618159.19978,0.00015126527851556
