timestamp,mse
1630881173.49996,0.0064
1630881173.59992,0.00405
1630881173.69988,0.0027
1630881173.79984,0.002025
1630881173.8998,0.00162
1630881173.99976,0.00135
1630881174.09972,0.00115714285714286
1630881174.19968,0.0010125
1630881174.29964,0.00111111111111111
1630881174.3996,0.001
1630881174.49956,0.000909090909090909
1630881174.59952,0.000833333333333333
1630881174.69948,0.000769230769230769
1630881174.79944,0.000714285714285714
1630881174.8994,0.000666666666666667
1630881174.99936,0.000625
1630881175.10015,0.000588235294117647
1630881175.20011,0.000555555555555556
1630881175.30007,0.000526315789473684
1630881175.40003,0.0005
1630881175.49999,0.000476190476190476
1630881175.59995,0.000454545454545455
1630881175.69991,0.000434782608695652
1630881175.79987,0.000416666666666667
1630881175.89983,0.0004
1630881175.99979,0.000384615384615385
1630881176.09975,0.00037037037037037
1630881176.19971,0.000357142857142857
1630881176.29967,0.000344827586206897
1630881176.39963,0.000421910490746394
1630881176.49959,0.000480094763997059
1630881176.59955,0.000570143744191151
1630881176.69951,0.000752374783456514
1630881176.79947,0.00102663341017344
1630881176.89943,0.00136953912307312
1630881176.99939,0.00176393142093689
1630881177.09935,0.00220893624958182
1630881177.20015,0.00270329068094265
1630881177.30011,0.00303790328195886
1630881177.40007,0.00352540560857583
1630881177.50003,0.00402604219901897
1630881177.59999,0.00450523631621496
1630881177.69995,0.0050625106281946
1630881177.79991,0.00566168755818584
1630881177.89987,0.00357233514108114
1630881177.99983,0.000219887540438812
1630881178.09979,0.00052069015987288
1630881178.19975,0.00150413858246296
1630881178.29971,0.000847845164796774
1630881178.39967,2.72331991463648e-06
1630881178.49963,0.000760016191586914
1630881178.59959,0.00224898864242928
1630881178.69955,0.00300175565324152
1630881178.79951,0.00232258585914748
1630881178.89947,0.00108853544161206
1630881178.99943,0.00022339036288929
1630881179.09939,8.24250295739631e-07
1630881179.19935,3.00280635138797e-05
1630881179.30014,9.84421363413704e-05
1630881179.4001,0.00017999561220494
1630881179.50006,0.000188412977557441
1630881179.60002,0.00015532897103617
1630881179.69998,0.000101842806681114
1630881179.79994,0.000160704812086698
1630881179.8999,0.000399815949228419
1630881179.99986,0.000601503136856167
1630881180.09982,0.000743182494422203
1630881180.19978,0.000859928678474747
1630881180.29974,0.000817018276332254
1630881180.3997,0.000703492627920458
1630881180.49966,0.000456711804910683
1630881180.59962,0.000408477757025772
1630881180.69958,0.000583675049822842
1630881180.79954,0.00107823954196101
1630881180.8995,0.00126122320882226
1630881180.99946,0.00121516124612012
1630881181.09942,0.00103942365739691
1630881181.19938,0.000884898067330126
1630881181.29934,0.000866836739416953
1630881181.40013,0.000889653262867381
1630881181.50009,0.000957258762649261
1630881181.60005,0.0008803306545604
1630881181.70001,0.000872979396898481
1630881181.79997,0.000752997375456645
1630881181.89993,0.000511720901477751
1630881181.99989,0.000266438913594376
1630881182.09985,8.10462465504613e-05
1630881182.19981,1.28712991441774e-05
1630881182.29977,3.05172240914778e-06
1630881182.39973,8.3371502141517e-06
1630881182.49969,3.14375450584574e-05
1630881182.59965,7.91284589761818e-05
1630881182.69961,0.000100171537761772
1630881182.79957,0.00011861130776948
1630881182.89953,0.00011120913125359
1630881182.99949,9.01166042171796e-05
1630881183.09945,2.32440909104096e-05
1630881183.19941,3.04437981607444e-06
1630881183.29937,9.69935715053011e-07
1630881183.39933,2.4522218066593e-06
1630881183.50013,1.42872643412966e-06
1630881183.60009,7.47610436257692e-08
1630881183.70005,1.86015717170222e-06
1630881183.8,1.16328932858784e-05
1630881183.89997,2.31755967496953e-06
1630881183.99993,2.86956353606735e-06
1630881184.09988,1.14816287640362e-05
1630881184.19985,1.80186556185761e-05
1630881184.29981,4.66884432471149e-05
1630881184.39977,4.95279401076065e-05
1630881184.49973,8.91998106858103e-06
1630881184.59968,8.05879293863716e-06
1630881184.69965,8.00316334527674e-05
1630881184.79961,0.000179084782844995
1630881184.89956,0.00016784831951321
1630881184.99953,0.000138120998464587
1630881185.09949,9.25715574398496e-05
1630881185.19945,7.57753928944689e-05
1630881185.29941,4.47910231969673e-05
1630881185.39936,1.75621014313678e-05
1630881185.50016,4.27470893810212e-06
1630881185.60012,4.35874047273289e-06
1630881185.70008,3.8516612730879e-06
1630881185.80004,2.46531451663574e-06
1630881185.9,5.75206847141588e-06
1630881185.99996,1.69486119876929e-05
1630881186.09992,8.33876182286732e-06
1630881186.19988,8.20897865340557e-06
1630881186.29984,7.32048063534039e-06
1630881186.3998,5.88862722200526e-06
1630881186.49976,1.70661979876514e-06
1630881186.59972,1.50740812436162e-06
1630881186.69968,1.34000375496304e-06
1630881186.79964,1.19173139653025e-06
1630881186.8996,8.76957868721796e-06
1630881186.99956,1.42452699123024e-05
1630881187.09952,4.5032841734418e-06
1630881187.19948,9.92561064371106e-06
1630881187.29944,4.69864689790805e-05
1630881187.3994,5.86787607955767e-05
1630881187.49936,4.7254910981929e-05
1630881187.60015,1.64567406633021e-05
1630881187.70011,2.01877591291891e-06
1630881187.80007,3.08732940106547e-06
1630881187.90003,1.37815128136515e-05
1630881187.99999,5.78766845922025e-06
1630881188.09995,1.11032996391574e-06
1630881188.19991,2.85626156937468e-05
1630881188.29987,3.62166553062971e-05
1630881188.39983,2.66561191744514e-05
1630881188.49979,1.386076445385e-05
1630881188.59975,1.40403518738602e-07
1630881188.69971,6.88070092976735e-07
1630881188.79967,2.66591065530507e-08
1630881188.89963,7.68854993028553e-07
1630881188.99959,3.07927366871221e-11
1630881189.09955,3.89458432389222e-07
1630881189.19951,2.15519498062897e-07
1630881189.29947,3.5156528111185e-07
1630881189.39943,2.21742709162802e-06
1630881189.49939,5.03384136719632e-06
1630881189.59935,5.80861982490579e-07
1630881189.70014,2.2755000772493e-07
1630881189.8001,2.25937058187164e-06
1630881189.90006,2.83968659052044e-06
1630881190.00002,3.91254331274646e-07
1630881190.09998,7.50061982580667e-08
