timestamp,timeus,DesR,R,DesP,P,DesY,Y,ErrRP,ErrYaw
1617984138.6,62228432,0,0.11,0,0.09,352.94,352.95,0,0
1617984138.69996,62328392,0,0.11,0,0.09,352.94,352.95,0,0
1617984138.79992,62428352,0,0.11,0,0.09,352.94,352.95,0,0
1617984138.89988,62528312,0,0.11,0,0.09,352.94,352.95,0,0
1617984138.99984,62628272,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.0998,62728232,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.19976,62828192,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.30055,62928985,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.40051,63028945,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.50047,63128905,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.60043,63228865,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.70039,63328825,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.80035,63428785,0,0.11,0,0.09,352.94,352.95,0,0
1617984139.90031,63528745,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.00027,63628705,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.10023,63728665,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.20019,63828625,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.30015,63928585,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.40011,64028545,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.50007,64128505,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.60003,64228465,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.69999,64328425,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.79995,64428385,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.89991,64528345,0,0.11,0,0.09,352.94,352.95,0,0
1617984140.99987,64628305,0,0.11,0,0.09,352.94,352.95,0,0
1617984141.09983,64728265,0,0.11,0,0.1,352.94,352.95,0,0
1617984141.19979,64828225,0,0.11,0,0.09,352.95,352.96,0,0
